critic_loss,policy_loss,steps,walltime
0.18697391,2.288128e-06,1,0
0.19189401,2.175862e-06,2,0.03663063049316406
0.16560796,2.1641092e-06,3,0.07106208801269531
0.15281242,1.591601e-06,4,0.10383367538452148
0.15307456,1.6050953e-06,5,0.13276100158691406
0.15296818,1.254019e-06,6,0.1611955165863037
0.16855957,1.0905487e-06,7,0.1906571388244629
0.14284071,9.3881334e-07,8,0.22317790985107422
0.13395487,8.555308e-07,9,0.25265073776245117
0.1309131,8.009206e-07,10,0.28186964988708496
0.14053999,7.825399e-07,11,0.31861019134521484
0.09951043,7.1920067e-07,12,0.3485751152038574
0.14777401,7.624267e-07,13,0.3773672580718994
0.12243637,6.34509e-07,14,0.40679097175598145
0.14298192,6.7814966e-07,15,0.438678503036499
0.11132982,7.249537e-07,16,0.46898794174194336
0.12060056,7.762644e-07,17,0.49700093269348145
0.11413659,8.0052496e-07,18,0.5280778408050537
0.16032128,8.278795e-07,19,0.5665440559387207
0.1278812,8.4870663e-07,20,0.5956313610076904
0.11849443,9.3685674e-07,21,0.6248733997344971
0.14240544,1.0549622e-06,22,0.6554136276245117
0.107975796,1.0864858e-06,23,0.6883893013000488
0.15343261,1.1897274e-06,24,0.7215039730072021
0.13431408,1.3052692e-06,25,0.7516872882843018
0.14170516,1.4725463e-06,26,0.7847349643707275
0.14645281,1.46662e-06,27,0.8168435096740723
0.14494377,1.6766021e-06,28,0.8461031913757324
0.1289196,1.8528192e-06,29,0.875077486038208
0.13955964,2.074658e-06,30,0.9081127643585205
0.14283721,2.031669e-06,31,0.936208963394165
0.11783727,2.2609076e-06,32,0.9676172733306885
0.14607534,2.8851773e-06,33,0.9962949752807617
0.14620684,2.8242414e-06,34,1.0319578647613525
0.13730898,2.9456157e-06,35,1.0647938251495361
0.14513204,3.4932323e-06,36,1.0957751274108887
0.12077543,4.71904e-06,37,1.1258652210235596
0.12978162,4.4137932e-06,38,1.1600227355957031
0.14793791,4.8815464e-06,39,1.1884963512420654
0.13121727,4.9573973e-06,40,1.2180776596069336
0.12917048,5.52496e-06,41,1.2506029605865479
0.15255934,4.9720184e-06,42,1.284296989440918
0.12999907,5.9414588e-06,43,1.318894863128662
0.1530075,6.29254e-06,44,1.3523263931274414
0.14151272,6.944345e-06,45,1.3852720260620117
0.12054058,6.5313416e-06,46,1.4126574993133545
0.12562874,7.6362085e-06,47,1.4416720867156982
0.13739792,8.085803e-06,48,1.4708120822906494
0.113842584,8.722118e-06,49,1.5019056797027588
0.16623758,7.919071e-06,50,1.5316643714904785
0.13054185,9.471182e-06,51,1.5640382766723633
0.14329645,1.0821533e-05,52,1.5935781002044678
0.13309239,9.898977e-06,53,1.625856876373291
